,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
500,27,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1,Low,0,0,24,new vehicle,3123000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
501,42,male,single,2,for free,4,skilled employee / official,7 years,1,Low,0,0,36,used vehicle,5493000,2,car or other,0,0,1,existing loans paid back duly till now,0
502,49,male,divorced/separated,1,own,4,skilled employee / official,7 years,1,Medium,2 lac,0,9,electronic equipment,1126000,2,real estate,0,0,1,existing loans paid back duly till now,0
503,38,male,single,2,own,4,skilled employee / official,0 year,1,Medium,0,2 lac,24,electronic equipment,1216000,4,car or other,0,0,2,critical/pending loans at other banks,1
504,24,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1,Low,0,0,24,new vehicle,1207000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
505,27,male,single,1,own,4,unskilled - resident,1 year,1,Low,0,0,10,new vehicle,1309000,4,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,1
506,36,male,single,1,own,2,skilled employee / official,1 year,1,High,2 lac,0,15,used vehicle,2360000,2,car or other,0,0,1,critical/pending loans at other banks,0
507,34,male,single,2,own,2,management / self-employed / highly qualified employee / officer,0 year,1,Medium,0,2 lac,15,new vehicle,6850000,1,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,1
508,28,male,married/widowed,1,own,2,skilled employee / official,1 year,1,Low,0,0,24,electronic equipment,1413000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
509,45,male,single,1,own,2,management / self-employed / highly qualified employee / officer,7 years,1,Medium,0,0,39,used vehicle,8588000,4,car or other,0,0,1,existing loans paid back duly till now,0
510,26,male,single,1,own,2,skilled employee / official,4 years,1,Low,0,0,12,new vehicle,759000,4,real estate,0,0,1,existing loans paid back duly till now,1
511,32,male,single,1,for free,2,management / self-employed / highly qualified employee / officer,1 year,1,Low,0,0,36,used vehicle,4686000,2,car or other,0,0,1,existing loans paid back duly till now,0
512,26,male,single,1,rent,4,skilled employee / official,4 years,1,Low,2 lac,0,15,business,2687000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
513,20,male,married/widowed,1,rent,4,skilled employee / official,1 year,1,Low,0,2 lac,12,electronic equipment,585000,4,real estate,1,0,2,delay in paying off loans in the past,0
514,54,male,single,1,own,1,skilled employee / official,0 year,1,Low,0,0,24,new vehicle,2255000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
515,37,female,divorced/separated/married,1,own,3,skilled employee / official,4 years,0,Low,0,0,6,new vehicle,609000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
516,40,male,single,2,own,4,unskilled - resident,0 year,0,Low,0,0,6,new vehicle,1361000,2,real estate,0,0,1,critical/pending loans at other banks,0
517,23,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1,Low,0,0,36,FF&E,7127000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,1
518,43,male,single,1,own,2,skilled employee / official,7 years,1,Medium,0,0,6,new vehicle,1203000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
519,36,male,single,1,for free,4,skilled employee / official,7 years,1,Low,0,0,6,electronic equipment,700000,4,car or other,0,0,2,critical/pending loans at other banks,0
520,44,male,single,1,for free,4,skilled employee / official,7 years,1,Low,0,0,24,repair costs,5507000,3,car or other,0,0,2,critical/pending loans at other banks,0
521,24,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,1,Low,0,0,18,electronic equipment,3190000,2,real estate,0,0,1,existing loans paid back duly till now,1
522,53,male,single,2,for free,4,skilled employee / official,1 year,1,Low,0,0,48,FF&E,7119000,3,car or other,0,0,2,no loans taken/all loans paid back duly,1
523,23,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,1,Medium,0,0,24,used vehicle,3488000,3,car or other,0,0,1,existing loans paid back duly till now,0
524,26,female,divorced/separated/married,2,own,4,unskilled - resident,1 year,1,Low,0,2 lac,18,electronic equipment,1113000,4,real estate,0,1,1,existing loans paid back duly till now,0
525,30,male,single,1,own,3,skilled employee / official,0 year,1,Low,0,2 lac,26,used vehicle,7966000,2,car or other,0,0,2,existing loans paid back duly till now,0
526,31,female,divorced/separated/married,1,own,3,skilled employee / official,1 year,1,Medium,0,0,15,education,1532000,4,car or other,0,0,1,critical/pending loans at other banks,0
527,42,male,single,2,own,1,unskilled - resident,4 years,1,Low,0,0,4,electronic equipment,1503000,2,real estate,0,0,2,critical/pending loans at other banks,0
528,31,male,divorced/separated,1,rent,4,skilled employee / official,1 year,1,Low,0,0,36,electronic equipment,2302000,4,car or other,0,0,1,existing loans paid back duly till now,1
529,41,male,single,2,own,4,unskilled - resident,0 year,1,Low,0,0,6,new vehicle,662000,3,real estate,0,0,1,existing loans paid back duly till now,0
530,32,male,single,2,own,1,skilled employee / official,4 years,1,Low,0,2 lac,36,education,2273000,3,car or other,0,0,2,existing loans paid back duly till now,0
531,28,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,1,Medium,0,2 lac,15,new vehicle,2631000,2,car or other,0,0,2,existing loans paid back duly till now,1
532,41,male,married/widowed,1,rent,4,skilled employee / official,1 year,1,Low,0,0,12,used vehicle,1503000,4,real estate,0,0,1,delay in paying off loans in the past,0
533,26,male,married/widowed,1,own,3,skilled employee / official,4 years,1,Medium,0,0,24,electronic equipment,1311000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
534,25,male,single,1,own,2,skilled employee / official,0 year,1,Low,0,0,24,electronic equipment,3105000,4,car or other,0,0,2,existing loans paid back duly till now,0
535,33,male,divorced/separated,1,rent,1,skilled employee / official,0 year,1,Low,2 lac,0,21,education,2319000,2,car or other,0,0,1,critical/pending loans at other banks,1
536,75,female,divorced/separated/married,1,own,3,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,0,6,new vehicle,1374000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
537,37,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,1,Low,0,2 lac,18,FF&E,3612000,3,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0
538,42,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,1,Low,0,0,48,new vehicle,7763000,4,car or other,0,0,1,existing loans paid back duly till now,1
539,45,female,divorced/separated/married,1,own,1,unskilled - resident,0 year,1,Low,2 lac,0,18,FF&E,3049000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
540,23,male,married/widowed,1,rent,1,skilled employee / official,0 year,1,Low,0,2 lac,12,electronic equipment,1534000,1,real estate,0,0,1,existing loans paid back duly till now,1
541,60,male,single,1,for free,4,skilled employee / official,7 years,1,Low,0,0,24,new vehicle,2032000,4,car or other,0,0,2,delay in paying off loans in the past,0
542,31,male,single,1,own,4,skilled employee / official,7 years,1,Low,0,0,30,FF&E,6350000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
543,34,male,single,2,own,1,unskilled - resident,1 year,1,Low,2 lac,0,18,FF&E,2864000,2,real estate,0,0,1,existing loans paid back duly till now,1
544,61,male,single,1,own,4,unskilled - resident,7 years,1,Low,0,0,12,new vehicle,1255000,4,real estate,0,0,2,critical/pending loans at other banks,0
545,43,male,single,2,for free,2,skilled employee / official,0 year,1,Low,0,0,24,new vehicle,1333000,4,real estate,0,0,2,delay in paying off loans in the past,1
546,37,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,1,Low,0,0,24,new vehicle,2022000,4,car or other,0,0,1,critical/pending loans at other banks,0
547,32,male,single,2,own,1,skilled employee / official,4 years,1,Low,0,0,24,electronic equipment,1552000,3,car or other,0,0,1,existing loans paid back duly till now,0
548,24,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,1,Low,0,0,12,electronic equipment,626000,4,real estate,0,0,1,all loans at this bank paid back duly,1
549,35,male,single,1,for free,1,skilled employee / official,4 years,1,Low,0,0,48,used vehicle,8858000,2,car or other,0,0,2,critical/pending loans at other banks,0
550,23,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,1,Low,0,0,12,repair costs,996000,4,real estate,0,0,2,critical/pending loans at other banks,0
551,45,male,single,2,own,4,unskilled - resident,7 years,1,High,0,0,6,electronic equipment,1750000,2,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,0
552,34,male,married/widowed,1,own,1,skilled employee / official,4 years,1,Low,0,0,48,electronic equipment,6999000,1,real estate,0,1,2,existing loans paid back duly till now,1
553,27,male,single,1,own,1,skilled employee / official,0 year,1,Medium,0,2 lac,12,new vehicle,1995000,4,car or other,0,0,1,critical/pending loans at other banks,0
554,67,female,divorced/separated/married,1,own,4,management / self-employed / highly qualified employee / officer,4 years,1,Low,0,2 lac,9,education,1199000,4,building society savings agreement/life insurance,0,0,2,existing loans paid back duly till now,0
555,22,male,single,1,own,1,skilled employee / official,0 year,1,Low,0,2 lac,12,electronic equipment,1331000,2,car or other,0,0,1,existing loans paid back duly till now,1
556,28,female,divorced/separated/married,1,own,3,skilled employee / official,0 year,1,Medium,0,2 lac,18,new vehicle,2278000,3,car or other,0,0,2,no loans taken/all loans paid back duly,1
557,29,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,1,Low,0,0,21,new vehicle,5003000,1,building society savings agreement/life insurance,0,0,2,no loans taken/all loans paid back duly,1
558,27,male,single,1,own,4,skilled employee / official,4 years,1,Low,0,0,24,FF&E,3552000,3,car or other,0,0,1,all loans at this bank paid back duly,1
559,31,male,single,1,own,2,unskilled - resident,0 year,1,Low,0,2 lac,18,FF&E,1928000,2,real estate,0,0,2,critical/pending loans at other banks,1
560,49,male,single,2,for free,4,skilled employee / official,7 years,1,Low,0,0,24,used vehicle,2964000,4,car or other,0,0,1,existing loans paid back duly till now,0
561,24,male,single,1,rent,4,unskilled - resident,4 years,1,Low,0,0,24,electronic equipment,1546000,4,car or other,0,1,1,all loans at this bank paid back duly,1
562,29,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1,Low,2 lac,0,6,electronic equipment,683000,2,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,0
563,37,male,single,1,for free,4,skilled employee / official,1 year,1,Low,0,2 lac,36,new vehicle,12389000,1,car or other,0,0,1,existing loans paid back duly till now,1
564,37,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,1,Low,0,2 lac,24,business,4712000,4,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
565,23,female,divorced/separated/married,1,rent,2,skilled employee / official,4 years,1,Medium,0,2 lac,24,electronic equipment,1553000,3,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
566,36,male,divorced/separated,1,own,3,skilled employee / official,4 years,1,Low,0,0,12,new vehicle,1372000,2,car or other,0,0,1,existing loans paid back duly till now,1
567,34,male,single,1,own,2,skilled employee / official,7 years,1,Very high,0,0,24,electronic equipment,2578000,2,car or other,0,0,1,critical/pending loans at other banks,0
568,41,male,single,2,own,1,skilled employee / official,4 years,1,Low,0,2 lac,48,electronic equipment,3979000,4,car or other,0,0,2,existing loans paid back duly till now,0
569,31,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,1,Low,0,0,48,electronic equipment,6758000,3,car or other,0,0,1,existing loans paid back duly till now,1
570,23,female,divorced/separated/married,1,rent,4,unskilled - resident,0 year,1,Low,0,0,24,FF&E,3234000,4,real estate,0,0,1,existing loans paid back duly till now,1
571,38,male,single,1,own,2,skilled employee / official,4 years,1,Low,0,0,30,electronic equipment,5954000,3,car or other,1,0,1,critical/pending loans at other banks,0
572,26,female,divorced/separated/married,1,rent,4,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,0,24,used vehicle,5433000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
573,22,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,1,Low,0,0,15,business,806000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
574,27,male,single,1,own,4,unskilled - resident,7 years,1,Low,0,2 lac,9,electronic equipment,1082000,4,car or other,0,0,2,existing loans paid back duly till now,0
575,24,female,divorced/separated/married,1,own,3,skilled employee / official,4 years,1,Low,0,0,15,FF&E,2788000,2,car or other,1,0,2,critical/pending loans at other banks,0
576,27,female,divorced/separated/married,1,own,1,skilled employee / official,4 years,1,Low,0,2 lac,12,electronic equipment,2930000,2,real estate,0,0,1,existing loans paid back duly till now,0
577,33,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,1,Low,0,0,24,education,1927000,3,car or other,0,0,2,critical/pending loans at other banks,0
578,27,male,divorced/separated,1,own,4,skilled employee / official,0 year,1,Low,0,2 lac,36,new vehicle,2820000,4,car or other,0,0,2,critical/pending loans at other banks,1
579,27,male,married/widowed,1,own,3,unskilled - resident,0 year,1,Low,0,0,24,career development,937000,4,car or other,0,0,2,existing loans paid back duly till now,0
580,30,male,single,1,own,3,skilled employee / official,7 years,1,Low,0,2 lac,18,new vehicle,1056000,3,real estate,0,1,2,critical/pending loans at other banks,1
581,49,male,single,2,own,3,unskilled - resident,0 year,1,Low,0,2 lac,12,new vehicle,3124000,1,real estate,0,0,2,critical/pending loans at other banks,0
582,26,female,divorced/separated/married,1,rent,2,skilled employee / official,1 year,1,Low,0,0,9,FF&E,1388000,4,real estate,0,0,1,existing loans paid back duly till now,0
583,33,male,single,1,rent,1,unskilled - resident,0 year,1,Low,0,2 lac,36,repair costs,2384000,4,car or other,0,0,1,existing loans paid back duly till now,1
584,52,female,divorced/separated/married,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,1,Low,0,0,12,new vehicle,2133000,4,car or other,0,0,1,existing loans paid back duly till now,0
585,20,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,1,Low,0,0,18,FF&E,2039000,1,real estate,0,0,1,existing loans paid back duly till now,1
586,36,male,single,2,rent,2,skilled employee / official,1 year,1,Low,0,0,9,new vehicle,2799000,2,real estate,0,0,2,critical/pending loans at other banks,0
587,21,male,single,1,own,1,unskilled - resident,1 year,1,Low,0,0,12,FF&E,1289000,4,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,0
588,47,male,married/widowed,1,own,3,unskilled - resident,1 year,1,Low,0,0,18,domestic appliances,1217000,4,real estate,0,0,1,existing loans paid back duly till now,1
589,60,male,single,1,own,3,skilled employee / official,7 years,1,Low,0,0,12,FF&E,2246000,3,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,1
590,58,female,divorced/separated/married,1,own,3,unskilled - resident,4 years,1,Low,0,0,12,electronic equipment,385000,4,real estate,0,0,4,critical/pending loans at other banks,0
591,42,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,1,Low,0,2 lac,24,new vehicle,1965000,4,car or other,0,0,2,delay in paying off loans in the past,0
592,36,female,divorced/separated/married,1,own,4,unskilled - resident,7 years,1,Very high,0,0,21,business,1572000,4,real estate,0,0,1,existing loans paid back duly till now,0
593,20,female,divorced/separated/married,1,rent,4,unskilled - resident,1 year,1,Low,0,2 lac,24,new vehicle,2718000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
594,40,male,single,1,own,3,management / self-employed / highly qualified employee / officer,7 years,1,Low,0,0,24,electronic equipment,1358000,4,car or other,0,0,1,all loans at this bank paid back duly,1
595,32,female,divorced/separated/married,1,own,1,unskilled - resident,0 year,1,Medium,0,2 lac,6,new vehicle,931000,1,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,1
596,23,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,1,Low,0,0,24,new vehicle,1442000,4,car or other,0,0,2,existing loans paid back duly till now,1
597,36,male,single,1,own,4,unskilled - resident,1 year,1,Low,0,2 lac,24,business,4241000,1,real estate,0,0,3,no loans taken/all loans paid back duly,1
598,31,male,single,1,own,2,skilled employee / official,4 years,1,Low,0,0,18,new vehicle,2775000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,1
599,32,male,single,1,for free,2,skilled employee / official,1 year,1,Low,0,0,24,business,3863000,1,car or other,0,0,1,delay in paying off loans in the past,0
600,45,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1,Low,0,2 lac,7,electronic equipment,2329000,1,real estate,0,1,1,existing loans paid back duly till now,0
601,30,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,1,Low,0,2 lac,9,FF&E,918000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
602,34,female,divorced/separated/married,1,for free,4,unskilled - resident,4 years,1,Low,0,2 lac,24,education,1837000,4,car or other,0,0,1,all loans at this bank paid back duly,1
603,28,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,1 year,1,Low,0,0,36,FF&E,3349000,4,car or other,0,0,1,existing loans paid back duly till now,1
604,23,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1,Low,2 lac,0,10,FF&E,1275000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
605,22,male,single,1,own,4,skilled employee / official,1 year,1,High,0,0,24,FF&E,2828000,4,real estate,0,0,1,all loans at this bank paid back duly,0
606,74,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,1,Low,0,0,24,business,4526000,3,real estate,0,0,1,critical/pending loans at other banks,0
607,50,female,divorced/separated/married,1,for free,4,skilled employee / official,1 year,1,Medium,0,2 lac,36,electronic equipment,2671000,4,car or other,1,0,1,existing loans paid back duly till now,1
608,33,male,single,1,own,1,skilled employee / official,0 year,1,Low,0,0,18,electronic equipment,2051000,4,real estate,0,0,1,existing loans paid back duly till now,0
609,45,male,single,2,for free,4,skilled employee / official,7 years,1,Low,0,0,15,used vehicle,1300000,4,car or other,0,0,1,existing loans paid back duly till now,0
610,22,female,divorced/separated/married,1,own,3,skilled employee / official,0 year,1,Medium,0,0,12,domestic appliances,741000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
611,48,female,divorced/separated/married,2,for free,4,unskilled - resident,7 years,1,Medium,2 lac,0,10,new vehicle,1240000,1,car or other,0,0,1,existing loans paid back duly till now,1
612,29,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1,Very high,0,0,21,electronic equipment,3357000,4,car or other,0,0,1,existing loans paid back duly till now,0
613,22,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,0,Low,0,0,24,used vehicle,3632000,1,car or other,0,1,1,all loans at this bank paid back duly,0
614,22,female,divorced/separated/married,1,own,1,skilled employee / official,4 years,1,Low,0,0,18,FF&E,1808000,4,real estate,0,0,1,delay in paying off loans in the past,1
615,48,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,1,Low,0,2 lac,48,business,12204000,2,car or other,0,0,1,no loans taken/all loans paid back duly,0
616,27,male,single,1,for free,2,management / self-employed / highly qualified employee / officer,1 year,1,Low,0,2 lac,60,electronic equipment,9157000,2,car or other,0,0,1,delay in paying off loans in the past,0
617,37,male,single,2,rent,3,skilled employee / official,1 year,1,Low,0,0,6,new vehicle,3676000,1,real estate,0,0,3,critical/pending loans at other banks,0
618,21,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,1,Medium,0,2 lac,30,FF&E,3441000,2,car or other,1,0,1,existing loans paid back duly till now,1
619,49,male,divorced/separated,1,own,2,unskilled - resident,1 year,1,Low,0,0,12,new vehicle,640000,4,real estate,0,0,1,existing loans paid back duly till now,0
620,27,male,single,1,own,3,skilled employee / official,4 years,1,Low,0,2 lac,21,business,3652000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
621,32,male,single,1,own,2,skilled employee / official,1 year,1,Low,0,0,18,new vehicle,1530000,3,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,1
622,38,male,divorced/separated,1,own,2,skilled employee / official,1 year,1,Low,0,0,48,business,3914000,4,real estate,0,0,1,existing loans paid back duly till now,1
623,22,female,divorced/separated/married,1,rent,1,skilled employee / official,0 year,1,Low,0,0,12,FF&E,1858000,4,car or other,0,0,1,existing loans paid back duly till now,0
624,65,male,single,1,for free,4,skilled employee / official,1 year,1,Low,0,0,18,electronic equipment,2600000,4,car or other,0,0,2,existing loans paid back duly till now,1
625,35,male,single,1,own,2,skilled employee / official,7 years,1,Low,0,0,15,electronic equipment,1979000,4,car or other,0,0,1,existing loans paid back duly till now,0
626,41,male,single,1,own,2,skilled employee / official,1 year,1,Low,2 lac,0,6,FF&E,2116000,2,real estate,0,0,1,existing loans paid back duly till now,0
627,29,male,single,1,own,3,skilled employee / official,4 years,1,Medium,0,2 lac,9,new vehicle,1437000,2,car or other,0,0,1,all loans at this bank paid back duly,1
628,36,male,single,1,own,4,skilled employee / official,1 year,1,High,0,0,42,FF&E,4042000,4,real estate,0,0,2,critical/pending loans at other banks,0
629,64,male,single,1,own,4,unskilled - resident,7 years,1,Low,0,0,9,education,3832000,1,real estate,0,0,1,existing loans paid back duly till now,0
630,28,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,1,Low,0,0,24,electronic equipment,3660000,2,car or other,0,0,1,existing loans paid back duly till now,0
631,44,male,single,1,own,3,skilled employee / official,1 year,1,Low,0,0,18,FF&E,1553000,4,car or other,0,0,1,all loans at this bank paid back duly,1
632,23,male,single,1,own,1,skilled employee / official,0 year,1,Low,0,2 lac,15,electronic equipment,1444000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,0
633,19,female,divorced/separated/married,1,rent,2,skilled employee / official,0 year,1,Low,0,0,9,FF&E,1980000,2,car or other,1,0,2,existing loans paid back duly till now,1
634,25,female,divorced/separated/married,1,own,4,unskilled - resident,0 year,1,Low,0,2 lac,24,new vehicle,1355000,3,car or other,0,0,1,existing loans paid back duly till now,1
635,47,male,single,2,own,4,skilled employee / official,7 years,1,Low,0,0,12,education,1393000,4,building society savings agreement/life insurance,0,0,3,existing loans paid back duly till now,0
636,28,female,divorced/separated/married,1,own,1,skilled employee / official,4 years,1,High,0,0,24,electronic equipment,1376000,4,car or other,0,0,1,existing loans paid back duly till now,0
637,21,male,single,1,own,4,skilled employee / official,4 years,1,Low,0,0,60,electronic equipment,15653000,2,car or other,0,0,2,delay in paying off loans in the past,0
638,34,female,divorced/separated/married,2,own,3,skilled employee / official,0 year,1,Low,0,0,12,electronic equipment,1493000,4,car or other,0,0,1,existing loans paid back duly till now,0
639,26,male,single,2,own,2,skilled employee / official,4 years,1,Low,0,0,42,electronic equipment,4370000,3,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,1
640,27,female,divorced/separated/married,1,own,1,unemployed / unskilled - non-resident,0 year,1,Low,0,0,18,education,750000,4,real estate,0,0,1,existing loans paid back duly till now,1
641,38,male,single,1,own,4,unskilled - resident,7 years,1,Low,0,2 lac,15,repair costs,1308000,4,car or other,0,0,2,existing loans paid back duly till now,0
642,40,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,1,Medium,0,0,15,education,4623000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
643,33,male,married/widowed,1,own,2,skilled employee / official,4 years,1,Low,0,0,24,electronic equipment,1851000,4,car or other,0,1,2,critical/pending loans at other banks,0
644,32,male,married/widowed,1,own,1,management / self-employed / highly qualified employee / officer,4 years,1,Low,0,0,18,electronic equipment,1880000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,0
645,27,male,single,1,rent,4,skilled employee / official,0 year,1,Low,0,0,36,business,7980000,4,car or other,0,0,2,delay in paying off loans in the past,1
646,32,male,divorced/separated,1,own,2,skilled employee / official,1 year,1,Low,0,0,30,FF&E,4583000,2,real estate,0,1,2,no loans taken/all loans paid back duly,0
647,26,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,1,High,0,0,12,new vehicle,1386000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
648,38,male,single,2,for free,3,skilled employee / official,4 years,1,Low,2 lac,0,24,new vehicle,947000,4,car or other,0,0,1,existing loans paid back duly till now,1
649,40,male,single,2,rent,4,unskilled - resident,1 year,1,Low,0,0,12,education,684000,4,car or other,0,0,1,existing loans paid back duly till now,1
650,50,male,single,1,for free,1,management / self-employed / highly qualified employee / officer,4 years,1,Low,0,0,48,education,7476000,4,car or other,0,0,1,existing loans paid back duly till now,0
651,37,male,single,1,own,2,unskilled - resident,1 year,1,Low,0,2 lac,12,FF&E,1922000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,1
652,45,male,single,1,own,1,skilled employee / official,7 years,1,Low,0,0,24,new vehicle,2303000,4,real estate,1,0,1,existing loans paid back duly till now,1
653,42,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,1,Medium,0,2 lac,36,new vehicle,8086000,2,car or other,0,0,4,delay in paying off loans in the past,1
654,35,male,single,1,own,3,skilled employee / official,4 years,1,Low,0,0,24,used vehicle,2346000,4,car or other,0,0,2,critical/pending loans at other banks,0
655,22,male,single,1,for free,4,skilled employee / official,0 year,1,Low,0,0,14,new vehicle,3973000,1,car or other,0,0,1,existing loans paid back duly till now,0
656,41,male,single,2,own,4,unskilled - resident,7 years,1,Low,0,2 lac,12,new vehicle,888000,4,car or other,0,0,1,existing loans paid back duly till now,1
657,37,male,single,1,own,3,skilled employee / official,4 years,1,Low,0,0,48,electronic equipment,10222000,4,car or other,0,0,1,existing loans paid back duly till now,0
658,28,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,1,Low,0,2 lac,30,business,4221000,2,car or other,0,0,2,no loans taken/all loans paid back duly,0
659,41,male,single,1,own,1,skilled employee / official,7 years,1,Low,0,2 lac,18,FF&E,6361000,2,car or other,0,0,1,critical/pending loans at other banks,0
660,23,male,married/widowed,1,rent,4,skilled employee / official,1 year,1,Low,2 lac,0,12,electronic equipment,1297000,3,real estate,0,0,1,existing loans paid back duly till now,0
661,23,male,married/widowed,1,own,2,skilled employee / official,1 year,1,Low,0,0,12,new vehicle,900000,4,car or other,0,0,1,existing loans paid back duly till now,1
662,50,male,single,1,own,2,skilled employee / official,7 years,1,Low,0,0,21,FF&E,2241000,4,real estate,0,0,2,existing loans paid back duly till now,0
663,35,male,single,1,own,1,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,2 lac,6,FF&E,1050000,4,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,0
664,50,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,1,Low,2 lac,0,6,education,1047000,2,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0
665,27,male,single,1,own,2,management / self-employed / highly qualified employee / officer,0 year,1,Low,0,0,24,electronic equipment,6314000,4,car or other,1,0,2,critical/pending loans at other banks,0
666,34,male,single,2,own,2,skilled employee / official,1 year,1,Very high,0,2 lac,30,FF&E,3496000,4,car or other,0,0,1,all loans at this bank paid back duly,0
667,27,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,1,Low,0,0,48,business,3609000,1,real estate,0,0,1,all loans at this bank paid back duly,0
668,43,male,single,1,rent,4,skilled employee / official,7 years,1,Low,0,0,12,new vehicle,4843000,3,building society savings agreement/life insurance,1,0,2,critical/pending loans at other banks,1
669,47,male,single,1,own,4,skilled employee / official,7 years,1,Low,2 lac,0,30,electronic equipment,3017000,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,0
